Woche,Geschäftsnr,Betreff,Ergebnis,Konfidenz,PDF
23.09.2026,GG260027,Qualifizierte Erpressung etc. (Untersuchungsnr. …),,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GG260027-G2.pdf
23.09.2026,EM260479,Erbbescheinigung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/EM260479-G2.pdf
23.09.2026,HE250120,Einsicht gemäss Art. 958e OR,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/HE250120-O2.pdf
23.09.2026,CG250024,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/CG250024-K5.pdf
23.09.2026,RT250267,Rechtsöffnung Beschwerde gegen ein Urteil des Einzelgerichts am Bezirksgericht M,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/RT250267-O3.pdf
23.09.2026,SB250411,Fahren ohne Berechtigung etc. und Widerruf Berufung gegen ein Urteil des Bezirks,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250411-O1.pdf
23.09.2026,CG240020,Eigentumsübertragung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/CG240020-G7.pdf
23.09.2026,SB250254,"gewerbsmässigen, teilweise bandenmässigen Diebstahl etc. Berufung gegen ein Urte",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250254-O1.pdf
23.09.2026,VV260007,Umteilung Prozess Nr. MO260282-L des Bezirksgerichts Zürich in Sachen A._____ ge,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/VV260007-O2.pdf
23.09.2026,SB250148,versuchte vorsätzliche Tötung und Rückversetzung Berufung gegen ein Urteil des B,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250148-O1.pdf
23.09.2026,ES260003,Kraftloserklärung eines Schuldbriefs,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/ES260003-M1.pdf
23.09.2026,RT250016,Rechtsöffnung Beschwerde gegen ein Urteil des Einzelgerichts im summarischen Ver,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/RT250016-O7.pdf
23.09.2026,PC250029,Honorar Beschwerde gegen eine Verfügung des Einzelgerichtes (10. Abteilung) des ,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PC250029-O2.pdf
23.09.2026,SB240498,"Drohung etc. und Widerruf Berufung gegen ein Urteil des Bezirksgerichtes Zürich,",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB240498-O1.pdf
23.09.2026,FK250035,Abänderung Unterhaltstitel,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FK250035-M2.pdf
